/rdsdbbin/mysql/bin/mysqld, Version: 5.7.37-log (Source distribution). started with:
Tcp port: 3306  Unix socket: /tmp/mysql.sock
Time                 Id Command    Argument
2023-06-19T12:11:14.359539Z	    2 Connect	rdsadmin@localhost on  using TCP/IP
2023-06-19T12:11:14.359887Z	    2 Query	/* mysql-connector-java-8.0.13-bin (Revision: ${revinfo.commit}) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@collation_connection AS collation_connection, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@transaction_isolation AS transaction_isolation, @@wait_timeout AS wait_timeout
2023-06-19T12:11:14.360542Z	    2 Query	SHOW WARNINGS
2023-06-19T12:11:14.362335Z	    2 Query	SET NAMES utf8mb4
2023-06-19T12:11:14.362467Z	    2 Query	SET character_set_results = NULL
2023-06-19T12:11:14.362619Z	    2 Query	SET autocommit=1
2023-06-19T12:11:14.362796Z	    2 Query	SET sql_mode='NO_ENGINE_SUBSTITUTION,STRICT_TRANS_TABLES'
2023-06-19T12:11:14.362966Z	    2 Query	SHOW WARNINGS
2023-06-19T12:11:14.364215Z	    2 Query	SELECT 1
2023-06-19T12:11:14.364663Z	    2 Query	set @@session.binlog_format='STATEMENT'
2023-06-19T12:11:14.365558Z	    2 Query	set @@session.tx_isolation='REPEATABLE-READ'
2023-06-19T12:11:14.366294Z	    2 Query	set @@session.old_passwords=0
2023-06-19T12:11:14.366755Z	    2 Query	set @@session.time_zone='+00:00'
2023-06-19T12:11:14.367236Z	    2 Query	set @@session.autocommit=1
2023-06-19T12:11:14.367712Z	    2 Query	set @@sql_mode='NO_ENGINE_SUBSTITUTION'
2023-06-19T12:11:14.368264Z	    2 Query	SELECT 1
2023-06-19T12:11:14.368688Z	    2 Query	SELECT 1
2023-06-19T12:11:14.376089Z	    2 Query	SELECT 1
2023-06-19T12:11:14.376516Z	    2 Query	SELECT 1
2023-06-19T12:11:14.378114Z	    2 Query	SELECT 1
2023-06-19T12:11:14.378544Z	    2 Query	SELECT 1
2023-06-19T12:11:14.380848Z	    2 Query	SELECT 1
2023-06-19T12:11:14.381326Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:11:14.689312Z	    2 Query	SELECT 1
2023-06-19T12:11:14.689873Z	    2 Query	SELECT @@GLOBAL.max_allowed_packet
2023-06-19T12:11:14.691065Z	    2 Query	SELECT 1
2023-06-19T12:11:14.691528Z	    2 Query	SET @@sql_log_bin=off
2023-06-19T12:11:14.692047Z	    2 Query	SET GLOBAL max_allowed_packet = 16777216
